Periodo,PIB_MEX,Tendencia,Ciclo
2008/02,15048665.69,14642792.761108063,405872.9288919363
2008/03,15092670.04,14688498.04590258,404171.9940974191
2008/04,14852544.92,14734723.816104706,117821.10389529355
2009/01,14096777.9,14783003.395782594,-686225.4957825933
2009/02,13881028.27,14834943.747194335,-953915.4771943353
2009/03,14331726.67,14891722.941663142,-559996.2716631424
2009/04,14580211.04,14953922.853339016,-373711.81333901733
2010/01,14738249.1,15021775.358702153,-283526.25870215334
2010/02,14890721.75,15095278.764349416,-204557.0143494159
2010/03,15026245.67,15174254.172965977,-148008.50296597742
2010/04,15151487.87,15258394.83910302,-106906.96910302155
2011/01,15274550.53,15347301.511997383,-72750.98199738376
2011/02,15341615.86,15440508.12403021,-98892.26403021067
2011/03,15637039.62,15537503.138218895,99536.48178110458
2011/04,15748743.51,15637713.209915824,111030.30008417554
2012/01,15837439.9,15740627.204774505,96812.69522549585
2012/02,15977627.88,15845803.382385995,131824.49761400558
2012/03,16078269.83,15952860.510275882,125409.31972411834
2012/04,16213674.55,16061499.74628076,152174.80371924117
2013/01,16269905.52,16171500.62906205,98404.89093795046
2013/02,16157056.06,16282737.806533495,-125681.74653349444
2013/03,16313692.0,16395147.429665674,-81455.42966567352
2013/04,16402695.3,16508587.09833756,-105891.79833756015
2014/01,16508811.05,16622863.502784621,-114052.45278462023
2014/02,16717683.94,16737717.150868332,-20033.210868332535
2014/03,16780482.77,16852817.267667193,-72334.49766719341
2014/04,16967333.84,16967820.557502896,-486.71750289574265
2015/01,17060757.79,17082338.515636075,-21580.725636076182
2015/02,17237670.2,17195982.333128937,41687.866871062666
2015/03,17446826.06,17308349.713090166,138476.3469098322
2015/04,17443715.22,17419064.41354524,24650.80645475909
2016/01,17549061.86,17527836.740236454,21225.119763545692
2016/02,17626019.34,17634392.40566013,-8373.065660130233
2016/03,17820267.67,17738470.38801244,81797.28198756278
2016/04,18022420.82,17839804.432323508,182616.38767649233
2017/01,18108948.41,17938179.406924732,170769.00307526812
2017/02,18168351.41,18033494.31538979,134857.0946102105
2017/03,18111156.83,18125754.891919285,-14598.061919286847
2017/04,18324436.98,18215051.156397954,109385.82360204682
2018/01,18567856.4,18301464.004921816,266392.3950781822
2018/02,18521633.61,18385142.699726645,136490.9102733545
2018/03,18578257.96,18466402.99829513,111854.96170487255
2018/04,18590228.01,18545645.964928903,44582.04507109895
2019/01,18566766.49,18623342.573280647,-56576.083280649036
2019/02,18547684.05,18699991.66078122,-152307.61078121886
2019/03,18532013.87,18776056.70480942,-244042.83480941877
2019/04,18506692.63,18851905.990487315,-345213.3604873158
